category,Number of genes,Percentage,Genes
Number of genes,Percentage,Genes,
535,0.031,0.029,
7304,0.428,0.402,
7,0,0,
43,0.003,0.002,
8648,0.506,0.476,
1,0,0,
93,0.005,0.005,
240,0.014,0.013,
43,0.003,0.002,
4,0,0,
72,0.004,0.004,
1166,0.068,0.064,
